,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.5498881,0.52769464,0.5136044,0.49485245,0.4853657,0.462464,0.45631355,0.45061347,0.44550526,0.4452973,0.4447427,0.43336725,0.43207115,0.43161237,0.43137428
1,0.6418957,0.6357528,0.6301312,0.62813336,0.6245682,0.622979,0.62277675,0.6222994,0.6127894,0.6095274,0.60287994,0.6024482,0.6017893,0.6006598,0.5979101
2,0.6499925,0.642884,0.63610804,0.6287262,0.6263408,0.6244946,0.62026435,0.59335315,0.57855606,0.54980177,0.54780954,0.5420959,0.5378696,0.5240758,0.5179172
3,0.5641505,0.55024487,0.53942597,0.5339786,0.5292907,0.5104482,0.5058975,0.5048204,0.5047698,0.5007706,0.49660835,0.49492416,0.49491152,0.49282804,0.49168262
4,0.63709724,0.6038591,0.541192,0.5397674,0.5335945,0.5326109,0.5247622,0.5203938,0.5199721,0.5175563,0.51237553,0.5110131,0.51046765,0.5075261,0.504528
5,0.48056278,0.47429976,0.4674007,0.46298218,0.4616314,0.4549982,0.45376593,0.45022717,0.4398933,0.43956274,0.42875236,0.425015,0.42273661,0.42252988,0.42113823
6,0.43057683,0.4108003,0.3730119,0.37050384,0.3695792,0.36677837,0.3589018,0.34411103,0.3262196,0.32270974,0.32261017,0.31954616,0.3181037,0.31609774,0.31427428
7,0.59981793,0.5979207,0.56838036,0.567838,0.5592539,0.55223763,0.5496899,0.54944074,0.5453643,0.54425263,0.53753173,0.53528297,0.53433114,0.5311135,0.53085834
8,0.6986731,0.68520004,0.6783016,0.6644408,0.66324574,0.66245574,0.65458804,0.63969046,0.6367833,0.6349658,0.63104886,0.6290189,0.62831897,0.6230418,0.61677027
9,0.68827665,0.66054153,0.6598148,0.6429195,0.63799816,0.63617665,0.6325288,0.6284771,0.6266167,0.62618196,0.62305576,0.6218632,0.6204582,0.6189542,0.61687374
10,0.50815725,0.4979179,0.44865748,0.4441479,0.4413238,0.4387153,0.42830864,0.42193833,0.41027063,0.4080834,0.3990009,0.3949907,0.39468232,0.39427948,0.39373
11,0.6449213,0.5984605,0.5749754,0.56603175,0.55838567,0.554734,0.5544794,0.5531305,0.54839545,0.5466537,0.54644895,0.54082555,0.53802025,0.53465706,0.5319929
12,0.7595002,0.74372333,0.73383623,0.70789266,0.70374036,0.6916754,0.68387896,0.6825763,0.67606527,0.6736697,0.6708906,0.66948974,0.6683836,0.6499193,0.64477956
13,0.5097512,0.5092403,0.49582413,0.4952081,0.4937741,0.4877552,0.487,0.45639822,0.45582312,0.45426622,0.45090935,0.45061725,0.4434921,0.43451202,0.43274897
14,0.6887574,0.6786953,0.6776534,0.6699418,0.6670313,0.6636196,0.65597284,0.6533916,0.65196955,0.6477623,0.64407504,0.64314866,0.64135295,0.64093554,0.63329005
15,0.7601611,0.7543789,0.7104898,0.69145447,0.68444026,0.6751215,0.6745739,0.6729003,0.6716464,0.66894096,0.66549236,0.66547996,0.65922004,0.6588354,0.6575209
16,0.822511,0.812128,0.7987073,0.7969972,0.7918942,0.79096687,0.789581,0.7812631,0.7782591,0.7780563,0.77255833,0.7701521,0.76947993,0.76909006,0.7611429
17,0.55966073,0.5563033,0.5504417,0.54879254,0.5424863,0.53863746,0.5381016,0.5312266,0.52821904,0.52591336,0.52398723,0.5219042,0.5183668,0.5161029,0.51600677
