,0,1,2,3,4,5,6,7,8,9,10,11
0,0.375,0.0,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.6,0.0,0.6666667
1,0.31034482,0.5862069,0.0,0.03448276,0.0,0.0,0.0,0.03448276,0.5294118,0.45,1.7588769,1.4530816
2,0.25925925,0.5925926,0.037037037,0.0,0.0,0.0,0.037037037,0.0,0.4375,0.35,1.7576598,1.4191674
3,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.5793802,1.5
4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,2.0,1.4
5,0.25,0.5,0.125,0.0,0.0,0.0,0.0,0.125,0.5,0.33333334,1.75,1.4166666
6,0.33333334,0.5555556,0.0,0.0,0.0,0.0,0.0,0.11111111,0.6,0.5,1.6554588,1.4153489
7,0.14285715,0.85714287,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.16666667,1.871049,1.6125122
8,0.2857143,0.5714286,0.0,0.0,0.0,0.0,0.0,0.14285715,0.5,0.4,2.0,1.5714285
9,0.0,0.6666667,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6666666
10,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6666666
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
13,0.42857143,0.5714286,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,2.0,1.5714285
14,0.375,0.25,0.0,0.0,0.0,0.0,0.125,0.25,1.5,0.6,2.0,1.0518796
15,0.071428575,0.78571427,0.0,0.071428575,0.0,0.0,0.0,0.071428575,0.09090909,0.07692308,1.8224909,1.5875595
16,0.25,0.6875,0.0,0.0625,0.0,0.0,0.0,0.0,0.36363637,0.33333334,1.7173764,1.5194548
17,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.33333334,0.0,0.25
18,0.1,0.75,0.05,0.0,0.0,0.05,0.0,0.05,0.13333334,0.11111111,1.7952336,1.5880352
19,0.16666667,0.6666667,0.0,0.0,0.0,0.16666667,0.0,0.0,0.25,0.2,2.0,1.5
20,0.2857143,0.5714286,0.14285715,0.0,0.0,0.0,0.0,0.0,0.5,0.4,2.0,1.5714285
21,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8
22,0.22222222,0.6111111,0.083333336,0.027777778,0.0,0.0,0.0,0.0,0.36363637,0.2857143,1.6353546,1.3651671
23,0.10344828,0.79310346,0.06896552,0.03448276,0.0,0.0,0.0,0.0,0.13043478,0.115384616,1.6753767,1.5196159
24,0.24,0.6,0.04,0.08,0.0,0.04,0.0,0.0,0.4,0.31578946,1.81648,1.4664061
25,0.21904762,0.64761907,0.03809524,0.028571429,0.0,0.03809524,0.0,0.0,0.3382353,0.2804878,1.5116476,1.3051274
26,0.375,0.5,0.0625,0.0625,0.0,0.0,0.0,0.0,0.75,0.6,1.8333334,1.40625
27,0.5217391,0.2173913,0.08695652,0.04347826,0.0,0.04347826,0.0,0.08695652,2.4,1.0909091,1.8277293,1.106765
28,0.29268292,0.6097561,0.024390243,0.048780486,0.0,0.0,0.0,0.0,0.48,0.41379312,1.6769084,1.4173464
