,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,2.0,1.6666666
1,0.23076923,0.46153846,0.15384616,0.0,0.0,0.0,0.07692308,0.07692308,0.5,0.3,2.0,1.3783883
2,0.26666668,0.6666667,0.06666667,0.0,0.0,0.0,0.0,0.0,0.4,0.36363637,1.7364516,1.5172744
3,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.5
5,0.42857143,0.2857143,0.0,0.0,0.0,0.0,0.0,0.14285715,1.5,0.75,2.0,1.1839408
6,0.6666667,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.6666667
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.22222222,0.3888889,0.0,0.0,0.0,0.0,0.0,0.2777778,0.5714286,0.2857143,2.0,1.1270739
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5
12,0.22222222,0.5555556,0.0,0.0,0.0,0.11111111,0.0,0.0,0.4,0.2857143,1.8277293,1.4153489
13,0.0,0.85714287,0.0,0.0,0.0,0.14285715,0.0,0.0,0.0,0.0,1.871049,1.7553694
14,0.33333334,0.5,0.0,0.0,0.0,0.16666667,0.0,0.0,0.6666667,0.5,2.0,1.5
15,0.0,0.6666667,0.16666667,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,2.0,1.6666666
16,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.24604683
17,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.16666667,0.11111111,1.7420981,1.2364516
18,0.25,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.4,0.33333334,1.8277293,1.5416666
19,0.14285715,0.5714286,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.25,0.16666667,1.9166666,1.3838217
20,0.0952381,0.5714286,0.0952381,0.0952381,0.0,0.0,0.0,0.0952381,0.16666667,0.10526316,1.75,1.3165487
21,0.17391305,0.6956522,0.0,0.04347826,0.0,0.08695652,0.0,0.0,0.25,0.21052632,1.59375,1.4265299
22,0.46153846,0.30769232,0.0,0.0,0.0,0.0,0.0,0.07692308,1.5,0.85714287,2.0,1.2088498
23,0.33333334,0.5,0.0,0.0,0.0,0.055555556,0.0,0.055555556,0.6666667,0.5,1.7195867,1.3300678
24,0.29411766,0.64705884,0.0,0.0,0.0,0.05882353,0.0,0.0,0.45454547,0.41666666,1.6122619,1.4347181
25,0.26666668,0.73333335,0.0,0.0,0.0,0.0,0.0,0.0,0.36363637,0.36363637,1.6846565,1.528567
