,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.79688287,0.785837,0.78182346,0.77491146,0.77103645,0.7637031,0.7583621,0.7574386,0.7566508,0.74768555,0.73830366,0.7343261,0.7322945,0.72944224,0.7292559
1,0.759128,0.72246003,0.7153417,0.71008974,0.6960196,0.6902979,0.68368125,0.66745335,0.66310495,0.66010845,0.6582966,0.6506901,0.6460284,0.64225227,0.6384791
2,0.5373432,0.5272176,0.42124566,0.41143152,0.4093323,0.39418587,0.39385355,0.3936686,0.3880005,0.38521656,0.38135543,0.38115028,0.3755297,0.37126485,0.36471936
3,0.6480665,0.6183582,0.5827798,0.5779041,0.57343537,0.5727778,0.57095724,0.57077867,0.5696618,0.5623434,0.5575905,0.55712044,0.5561844,0.5526018,0.5510152
4,0.73318213,0.7187298,0.7103506,0.70543045,0.7025407,0.7024136,0.7016388,0.6955096,0.6900431,0.68872285,0.6871234,0.6854988,0.67844474,0.6773631,0.67641395
5,0.75830525,0.72978276,0.7249106,0.71059257,0.70990264,0.7015998,0.6976476,0.6975948,0.69057786,0.68786705,0.6839298,0.6810946,0.6793592,0.67910534,0.6785483
6,0.619666,0.5976822,0.5967386,0.58831614,0.5878489,0.58676517,0.5753858,0.5724716,0.56987894,0.56967,0.5631369,0.5589648,0.5530989,0.5482495,0.5479897
7,0.6323018,0.61729974,0.5986967,0.5886336,0.58848,0.58816534,0.5877061,0.587675,0.58405346,0.5836609,0.58125037,0.57396483,0.57359475,0.5718576,0.57004815
8,0.7710331,0.75646013,0.7412532,0.722621,0.71576965,0.7142458,0.7065372,0.7064963,0.70626414,0.6910703,0.6904091,0.68602717,0.68413997,0.6840335,0.683923
9,0.80236006,0.797731,0.78283817,0.7777615,0.7621093,0.7604536,0.7600252,0.7538685,0.74988335,0.74477375,0.7417855,0.7364411,0.73085904,0.72963756,0.7270642
10,0.8018028,0.78010625,0.7721333,0.759448,0.7504407,0.7437677,0.74287325,0.74011517,0.73468864,0.7281655,0.7267028,0.72229195,0.7220776,0.71882373,0.71678513
11,0.7295243,0.7220694,0.7165239,0.71587265,0.71428883,0.69899577,0.6982102,0.6977269,0.6893663,0.68038833,0.67680335,0.66851276,0.6613663,0.6584735,0.6576359
12,0.7567831,0.73042256,0.71373194,0.6766953,0.64397895,0.63563275,0.6307964,0.62478495,0.6184811,0.6183029,0.6001405,0.59768933,0.5945285,0.5943354,0.5887829
13,0.79802936,0.79303473,0.770259,0.7587208,0.7582118,0.7412775,0.7379521,0.73629093,0.7303259,0.7298915,0.7281532,0.7268073,0.7265946,0.7248625,0.7199391
14,0.6357763,0.6008979,0.5896102,0.58513945,0.5795703,0.5733273,0.57247823,0.554395,0.54295963,0.5373274,0.5339635,0.5325403,0.5177092,0.5164909,0.5149296
15,0.79057854,0.7682545,0.76049376,0.75805604,0.7567378,0.7559846,0.75355077,0.7443426,0.7368221,0.73318607,0.7283352,0.72736734,0.72683775,0.7241106,0.7208509
16,0.5900624,0.57453424,0.5659896,0.5535685,0.5471716,0.54613715,0.54253376,0.54053617,0.53976476,0.5392211,0.5359746,0.5351489,0.53311825,0.53100675,0.5307002
17,0.39343646,0.38896868,0.3849662,0.3813783,0.3588854,0.35662234,0.34883848,0.34605074,0.34023908,0.3392506,0.33827296,0.3343212,0.33140537,0.33133918,0.3284731
18,0.48727322,0.468981,0.468229,0.4648558,0.45481136,0.4521193,0.45174444,0.44758493,0.44263706,0.4371617,0.43459913,0.4333716,0.43269026,0.42707872,0.42651224
19,0.589417,0.56029254,0.5416232,0.5353988,0.5347956,0.5347043,0.5340358,0.5333613,0.5311843,0.5293888,0.5290164,0.52749735,0.5268581,0.5254429,0.5251269
20,0.51285744,0.38442072,0.37795383,0.37773892,0.36871126,0.35713276,0.33978647,0.3397424,0.33199927,0.33191362,0.3312253,0.3283327,0.32500115,0.32441124,0.3236865
21,0.505124,0.49708816,0.48949227,0.4874106,0.4581507,0.44652545,0.44616753,0.44594157,0.43992692,0.43776965,0.43687323,0.4368395,0.43555525,0.43484268,0.4315784
22,0.73688924,0.73204553,0.7250791,0.7115728,0.7091803,0.70894575,0.70536715,0.70213366,0.6978544,0.6956576,0.6908366,0.68671954,0.6858968,0.68007296,0.6781279
23,0.55028045,0.5119598,0.50954866,0.49691486,0.4968725,0.49318725,0.4908945,0.4906044,0.48954675,0.4895423,0.48831254,0.48776916,0.48754376,0.4748236,0.47478318
24,0.58546585,0.5588311,0.5582384,0.5484693,0.5435199,0.54173464,0.5414122,0.5330867,0.52979267,0.52630836,0.5209592,0.5205274,0.5202618,0.51883036,0.5143369
25,0.48791555,0.4665353,0.46376634,0.45573813,0.44911674,0.44683087,0.4406208,0.43893492,0.43277517,0.4279879,0.42245233,0.40853453,0.40659654,0.4051701,0.40419668
26,0.5880925,0.5793218,0.5062142,0.49744517,0.48853227,0.48386025,0.48056218,0.4801105,0.4793786,0.47893,0.4694375,0.46319032,0.45723298,0.44403616,0.44221148
27,0.76104367,0.7553987,0.72957945,0.727154,0.72155267,0.7169769,0.7135806,0.7105776,0.70426,0.6848899,0.66890293,0.6614583,0.6610265,0.65877837,0.6557114
28,0.7603255,0.7313284,0.71103054,0.7107708,0.70964485,0.70055014,0.6926727,0.6852972,0.67429954,0.67305017,0.6701399,0.6695229,0.6676739,0.66631246,0.6656217
